outcome,treatment_arm,subgroup,level,n_treated,n_control,control_mean,effect,ci_low,ci_high,relative_effect,p_value,harmful
visit,Mens E-Mail,history_segment,2) $100 - $200,4691,4836,0.09098428453267163,0.0691095120991766,0.05585018803950657,0.08236883615884663,0.7595763647991318,2.052530792264232e-24,False
visit,Mens E-Mail,history_segment,3) $200 - $350,4090,4044,0.12636003956478734,0.08439790664548161,0.06823946770728997,0.10055634558367324,0.6679161144311695,2.978916871421089e-24,False
visit,Mens E-Mail,history_segment,4) $350 - $500,2097,2124,0.1501883239171375,0.08920128027933366,0.06544443403780989,0.11295812652085743,0.5939295276279144,2.4694156960483316e-13,False
visit,Mens E-Mail,history_segment,5) $500 - $750,1597,1652,0.10956416464891042,0.09895180279003762,0.07397494484718933,0.12392866073288591,0.9031402111002329,1.1034303579770616e-14,False
visit,Mens E-Mail,history_segment,"6) $750 - $1,000",644,622,0.15434083601286175,0.06149767330390843,0.018886917526525472,0.10410842908129139,0.39845367494824,0.004900194932290892,False
visit,Mens E-Mail,zip_code,Rural,3243,3139,0.15355208665179992,0.07339826795812915,0.05424415577051052,0.09255238014574778,0.4780024131132104,8.677374825310259e-14,False
visit,Mens E-Mail,zip_code,Surburban,9501,9625,0.09901298701298701,0.07433718665294288,0.0646653805768157,0.08400899272907006,0.7507821841915795,7.569161037881486e-51,False
visit,Mens E-Mail,zip_code,Urban,8563,8542,0.0968157340201358,0.07964111521494538,0.06941779707785778,0.08986443335203298,0.8226050860532811,6.424336334955637e-52,False
conversion,Mens E-Mail,mens,Bought mens,11739,11787,0.006193263765165012,0.007692075701569804,0.005145184263894457,0.01023896713924515,1.2420067985534695,3.226805844388689e-09,False
conversion,Mens E-Mail,mens,No mens purchase,9568,9519,0.005147599537766572,0.005721965679624732,0.0031954570509521623,0.008248474308297303,1.1115794143744455,9.312603645383247e-06,False
conversion,Mens E-Mail,womens,Bought womens,11749,11668,0.005913609873157353,0.0074492295174290795,0.004949997107991875,0.009948461926866284,1.2596755073820654,5.545800185644665e-09,False
conversion,Mens E-Mail,womens,No womens purchase,9558,9638,0.005499066196306288,0.006009617628761718,0.003411164366648567,0.00860807089087487,1.0928432963397252,5.702344411960403e-06,False
conversion,Mens E-Mail,recency_bucket,1-3 months,7469,7438,0.009007797795106211,0.007326383487528679,0.0037383373200541256,0.010914429655003234,0.8133379161229599,6.401420463269019e-05,False
conversion,Mens E-Mail,recency_bucket,10-12 months,4477,4403,0.0029525323642970703,0.0066521136039852605,0.0033763818505181085,0.009927845357452413,2.2530197075651617,7.520174127771419e-05,False
conversion,Mens E-Mail,recency_bucket,4-6 months,4673,4766,0.005455308434746118,0.005030460878328993,0.00143844933126731,0.008622472425390677,0.9221221748506148,0.005919136877609892,False
conversion,Mens E-Mail,recency_bucket,7-9 months,4688,4699,0.003404979782932539,0.007900480967920703,0.004446013958412426,0.01135494797742898,2.3202725042662116,7.446447755193859e-06,False
conversion,Mens E-Mail,newbie,Established customer,10621,10611,0.007727829610781264,0.006206828142725938,0.0034237029695350428,0.008989953315916833,0.8031787002739625,1.2510598620759528e-05,False
conversion,Mens E-Mail,newbie,New customer,10686,10695,0.0037400654511453952,0.007396000429446033,0.005094476401674598,0.009697524457217468,1.9775056148231331,3.0966371658942176e-10,False
conversion,Mens E-Mail,channel,Multichannel,2577,2606,0.006907137375287797,0.010166979815243827,0.0042400342230320765,0.016093925407455578,1.4719527443625229,0.0007618181165847432,False
conversion,Mens E-Mail,channel,Phone,9240,9327,0.005360780529645117,0.005461730292865705,0.002883599337234507,0.008039861248496904,1.0188311688311686,3.228188752852337e-05,False
conversion,Mens E-Mail,channel,Web,9490,9373,0.005761229062199936,0.007199782528948642,0.004456411129284019,0.009943153928613266,1.249695585996956,2.927565086509692e-07,False
conversion,Mens E-Mail,history_segment,1) $0 - $100,7724,7612,0.004203888596952181,0.004988239833912657,0.0024109924039650305,0.0075654872638602835,1.1865775504919733,0.00015589461902370698,False
conversion,Mens E-Mail,history_segment,2) $100 - $200,4691,4836,0.0041356492969396195,0.004817665561299562,0.0015714716983214931,0.00806385942427763,1.1649115327222341,0.0034588573015568802,False
conversion,Mens E-Mail,history_segment,3) $200 - $350,4090,4044,0.006923837784371909,0.008479585198513176,0.003921508465252981,0.013037661931773371,1.2246943765281173,0.00027744163246441414,False
conversion,Mens E-Mail,history_segment,4) $350 - $500,2097,2124,0.011299435028248588,0.008729177275041827,0.0012351512549471184,0.016223203295136535,0.7725321888412017,0.02227774669886927,False
conversion,Mens E-Mail,history_segment,5) $500 - $750,1597,1652,0.005447941888619854,0.008327887792031367,0.0015988842206547471,0.015056891363407987,1.5286300702706466,0.014640830369248556,False
conversion,Mens E-Mail,history_segment,"6) $750 - $1,000",644,622,0.00482315112540193,0.02002156937149248,0.0068245710248996064,0.03321856771808535,4.151138716356107,0.003398796192891348,False
conversion,Mens E-Mail,zip_code,Rural,3243,3139,0.00828289264096846,0.00528479160201643,0.0001950068941528743,0.010374576309879986,0.6380369553357529,0.042715352064674965,False
conversion,Mens E-Mail,zip_code,Surburban,9501,9625,0.004987012987012987,0.00743273230295649,0.004798409346375375,0.010067055259537605,1.4904176753324212,3.01094900190452e-08,False
conversion,Mens E-Mail,zip_code,Urban,8563,8542,0.005619292905642706,0.006642764784419188,0.0038238427921358916,0.009461686776702484,1.1821353497605982,3.956111962968043e-06,False
spend,Mens E-Mail,mens,Bought mens,11739,11787,0.7837999490964622,0.8966379076204645,0.46402922973139626,1.3292465855095328,1.1439627020314023,4.87264982220137e-05,False
spend,Mens E-Mail,mens,No mens purchase,9568,9519,0.4905641348881185,0.6157308065834535,0.26965152897453104,0.9618100841923759,1.2551484358388356,0.0004891358520919592,False
spend,Mens E-Mail,womens,Bought womens,11749,11668,0.6175702776825506,0.8412108951832252,0.46593415975476504,1.2164876306116854,1.3621298264869421,1.120378412029044e-05,False
spend,Mens E-Mail,womens,No womens purchase,9558,9638,0.6954264370201286,0.682735312299813,0.24714126259206898,1.118329362007557,0.9817505863385112,0.002128221801022332,False
spend,Mens E-Mail,recency_bucket,1-3 months,7469,7438,0.9435506856681903,1.047598062490867,0.4641038010248284,1.6310923239569055,1.110272164922432,0.00043434290920037183,False
spend,Mens E-Mail,recency_bucket,10-12 months,4477,4403,0.3882398364751306,0.7720818074828771,0.20935969111327468,1.3348039238524796,1.9886722972394777,0.007170287878431621,False
spend,Mens E-Mail,recency_bucket,4-6 months,4673,4766,0.5191879983214435,0.48838743501902304,0.008800411983419465,0.9679744580546266,0.9406755098307358,0.045942532987560285,False
spend,Mens E-Mail,recency_bucket,7-9 months,4688,4699,0.5759374334964886,0.6050864572884942,0.06413107692140263,1.1460418376555856,1.0506114416196968,0.028360515513876042,False
spend,Mens E-Mail,newbie,Established customer,10621,10611,0.9353501083780982,0.5779669050857943,0.14156727685908765,1.014366533312501,0.6179150458302634,0.009440424495721855,False
spend,Mens E-Mail,newbie,New customer,10686,10695,0.37244787283777464,0.9600198419292101,0.5937689318257573,1.3262707520326629,2.5775951802720094,2.8124216314196156e-07,False
spend,Mens E-Mail,channel,Multichannel,2577,2606,0.6157405986185724,1.2091294052619086,0.3908133568197302,2.027445453704087,1.9636993369847904,0.003789585658933676,False
spend,Mens E-Mail,channel,Phone,9240,9327,0.6444526643079231,0.5640743919691333,0.1611318695232567,0.96701691441501,0.8752766854876642,0.006077313232590324,False
spend,Mens E-Mail,channel,Web,9490,9373,0.6713858956577403,0.8504486670398359,0.39715602742185496,1.303741306657817,1.2667061857274677,0.00023632177099869596,False
spend,Mens E-Mail,history_segment,1) $0 - $100,7724,7612,0.516893063583815,0.5382830109889453,0.11283800154377643,0.9637280204341141,1.0413817652278512,0.013149698788124836,False
spend,Mens E-Mail,history_segment,2) $100 - $200,4691,4836,0.42289495450785775,0.7042485117040373,0.19771039512245447,1.2107866282856201,1.6653036509352628,0.006437942003036569,False
spend,Mens E-Mail,history_segment,3) $200 - $350,4090,4044,0.9328808110781406,0.5365812916113462,-0.16899127310074102,1.2421538563234333,0.5751874036204189,0.13606410314804512,False
spend,Mens E-Mail,history_segment,4) $350 - $500,2097,2124,1.0102683615819208,1.5689400313603774,0.3867454374774768,2.751134625243278,1.5529933342697826,0.00930765495967152,False
spend,Mens E-Mail,history_segment,5) $500 - $750,1597,1652,0.5388559322033899,1.103010066544262,0.11876393097097604,2.0872562021175476,2.046947988554264,0.028076723359398485,False
spend,Mens E-Mail,history_segment,"6) $750 - $1,000",644,622,0.3495337620578778,1.5341463621657245,0.28395507664749076,2.7843376476839583,4.389122106927376,0.016231117525668345,False
spend,Mens E-Mail,zip_code,Rural,3243,3139,0.7671360305829882,0.7555004171505917,0.05077343995186423,1.4602273943493191,0.9848323987291355,0.035630747372549586,False
spend,Mens E-Mail,zip_code,Surburban,9501,9625,0.669442077922078,0.8038481020589765,0.35412361086145067,1.2535725932565023,1.200773193932012,0.00046032414511103963,False
spend,Mens E-Mail,zip_code,Urban,8563,8542,0.5920053851557012,0.7365068185112378,0.31095522406599435,1.1620584129564813,1.244088038688249,0.0006946326294116108,False
visit,Womens E-Mail,mens,Bought mens,11740,11787,0.11453296004072283,0.02175324098142367,0.013293417223818705,0.030213064739028638,0.1899299640355858,4.709137296961721e-07,False
visit,Womens E-Mail,mens,No mens purchase,9647,9519,0.09580838323353294,0.07398533502084667,0.06444112608597538,0.08352954395571796,0.7722219342800871,2.229295155230222e-51,False
visit,Womens E-Mail,womens,Bought womens,11765,11668,0.11141583818992115,0.07311454855041033,0.06407417677036671,0.08215492033045395,0.6562311942201444,6.477695252762961e-56,False
visit,Womens E-Mail,womens,No womens purchase,9622,9638,0.09981323926125753,0.011078467244666393,0.0024081275284129084,0.01974880696091988,0.11099196185456828,0.012279129583740955,False
visit,Womens E-Mail,recency_bucket,1-3 months,7486,7438,0.13780586179080398,0.04400017614667931,0.03226575551862382,0.0557345967747348,0.3192910343209763,2.2451870377549596e-13,False
visit,Womens E-Mail,recency_bucket,10-12 months,4521,4403,0.07903702021349081,0.04350224101190181,0.031057619873963035,0.055946862149840584,0.5504033539523093,9.3520108570738e-12,False
visit,Womens E-Mail,recency_bucket,4-6 months,4753,4766,0.10574905581200168,0.04047438201673807,0.027165691960710274,0.05378307207276587,0.38273989026145566,2.6705386292103987e-09,False
visit,Womens E-Mail,recency_bucket,7-9 months,4627,4699,0.08193232602681422,0.05379276582535783,0.04118796381747185,0.06639756783324381,0.656551186008718,6.990461399592197e-17,False
visit,Womens E-Mail,newbie,Established customer,10624,10611,0.13372914899632457,0.040122507630181464,0.030433733650417058,0.04981128160994587,0.30002813845232945,5.345180430816384e-16,False
visit,Womens E-Mail,newbie,New customer,10763,10695,0.0788218793828892,0.05041718035881851,0.04227803951768688,0.058556321199950134,0.6396343344455088,1.1766181479965008e-33,False
visit,Womens E-Mail,channel,Multichannel,2579,2606,0.12854950115118957,0.04709997539010549,0.0275856145285354,0.06661433625167558,0.3663956294525818,2.317867682316498e-06,False
visit,Womens E-Mail,channel,Phone,9454,9327,0.0871662914120296,0.044629773745575654,0.035726616969326275,0.053532930521825034,0.5120072567342978,1.2687522689495127e-22,False
visit,Womens E-Mail,channel,Web,9354,9373,0.11885202176464313,0.04567652217377893,0.0357079556703266,0.055645088677231266,0.3843142211264182,3.1708125038409893e-19,False
visit,Womens E-Mail,history_segment,1) $0 - $100,7634,7612,0.08486600105097215,0.04678188996291309,0.03694734442623095,0.056616435499595226,0.5512441894701152,1.4813748531758043e-20,False
visit,Womens E-Mail,history_segment,2) $100 - $200,4727,4836,0.09098428453267163,0.04250418595601041,0.02986703828752029,0.05514133362450053,0.4671596438256053,4.4074517244034074e-11,False
visit,Womens E-Mail,history_segment,3) $200 - $350,4155,4044,0.12636003956478734,0.036094834081422056,0.020907339236844638,0.051282328925999474,0.2856507025934849,3.394322100725041e-06,False
visit,Womens E-Mail,history_segment,4) $350 - $500,2188,2124,0.1501883239171375,0.040396685223630324,0.01799865109681187,0.06279471935044878,0.2689735404858646,0.00042362245604448995,False
visit,Womens E-Mail,history_segment,5) $500 - $750,1662,1652,0.10956416464891042,0.066127772775879,0.04242969588943548,0.08982584966232252,0.6035529316339895,5.284918934857486e-08,False
visit,Womens E-Mail,history_segment,"6) $750 - $1,000",593,622,0.15434083601286175,0.05476540344750924,0.011436135508361943,0.09809467138665653,0.3548341765036536,0.013213638679700294,False
visit,Womens E-Mail,zip_code,Rural,3181,3139,0.15355208665179992,0.02909487971097907,0.010673617687630779,0.04751614173432736,0.1894788950472268,0.001989202009323708,False
visit,Womens E-Mail,zip_code,Surburban,9650,9625,0.09901298701298701,0.04886266065540677,0.03960167420399729,0.05812364710681626,0.49349749087963296,6.3311978041431595e-25,False
visit,Womens E-Mail,zip_code,Urban,8556,8542,0.0968157340201358,0.046943031758265336,0.037217301053287376,0.056668762463243295,0.4848698636990357,3.9412130074934514e-21,False
conversion,Womens E-Mail,mens,Bought mens,11740,11787,0.006193263765165012,0.0014728350423307288,-0.0006473363580968249,0.0035930064427582824,0.2378124197801685,0.1732685897676981,False
conversion,Womens E-Mail,mens,No mens purchase,9647,9519,0.005147599537766572,0.005114658158926701,0.0026425788750146276,0.007586737442838774,0.9936006329555769,5.244316578211259e-05,False
conversion,Womens E-Mail,womens,Bought womens,11765,11668,0.005913609873157353,0.005136113883748724,0.0027901664539130987,0.007482061313584349,0.8685243013852191,1.8352403971838037e-05,False
conversion,Womens E-Mail,womens,No womens purchase,9622,9638,0.005499066196306288,0.0006327151381356165,-0.0015150178419414593,0.0027804481182126923,0.11505865096888815,0.5636558018878807,False
conversion,Womens E-Mail,recency_bucket,1-3 months,7486,7438,0.009007797795106211,0.002747478721057293,-0.000503926239714111,0.005998883681828698,0.3050111451824499,0.09785450446648448,False
conversion,Womens E-Mail,recency_bucket,10-12 months,4521,4403,0.0029525323642970703,0.004125547706483731,0.0012032209736131385,0.007047874439354324,1.3972912732036822,0.005944338763743195,False
conversion,Womens E-Mail,recency_bucket,4-6 months,4753,4766,0.005455308434746118,0.0025396421227964865,-0.0007441153724037481,0.0058233996179967214,0.4655359368172329,0.12951127049602446,False
conversion,Womens E-Mail,recency_bucket,7-9 months,4627,4699,0.003404979782932539,0.0032948257065855075,0.0004139920609501548,0.00617565935222086,0.9676491247028312,0.02466316928178969,False
conversion,Womens E-Mail,newbie,Established customer,10624,10611,0.007727829610781264,0.0009318089434356032,-0.0014930869324005507,0.003356704819271757,0.12057834998530714,0.4513810410852427,False
conversion,Womens E-Mail,newbie,New customer,10763,10695,0.0037400654511453952,0.00527229169834824,0.0031448556848510754,0.007399727711845404,1.4096789928458604,1.2454107165078662e-06,False
conversion,Womens E-Mail,channel,Multichannel,2579,2606,0.006907137375287797,0.0070517614226959175,0.001518849218086554,0.012584673627305282,1.0209383481969756,0.012389697763934688,False
conversion,Womens E-Mail,channel,Phone,9454,9327,0.005360780529645117,0.0017261667942389536,-0.0005222372795984508,0.0039745708680763575,0.3219991537973344,0.13277958911139304,False
conversion,Womens E-Mail,channel,Web,9354,9373,0.005761229062199936,0.0034326986692518498,0.0009651890791807804,0.00590020825932292,0.595827493090696,0.006396903809730835,False
conversion,Womens E-Mail,history_segment,1) $0 - $100,7634,7612,0.004203888596952181,0.003786679912348317,0.0013165858135787295,0.006256774011117905,0.9007564841498559,0.0026784363362159515,False
conversion,Womens E-Mail,history_segment,2) $100 - $200,4727,4836,0.0041356492969396195,0.0036917253592905477,0.0005961186846146702,0.006787332033966425,0.8926591918764545,0.01903170094823065,False
conversion,Womens E-Mail,history_segment,3) $200 - $350,4155,4044,0.006923837784371909,-0.0006663167254068068,-0.00417069151229054,0.002838058061476926,-0.09623517276946882,0.709211727681355,False
conversion,Womens E-Mail,history_segment,4) $350 - $500,2188,2124,0.011299435028248588,-0.0021586672037513296,-0.008167568878357167,0.0038502344708545074,-0.19104204753199266,0.48071090141112816,False
conversion,Womens E-Mail,history_segment,5) $500 - $750,1662,1652,0.005447941888619854,0.010195860758792903,0.0032538224242880543,0.01713789909329775,1.8715068859473196,0.004093231025866357,False
conversion,Womens E-Mail,history_segment,"6) $750 - $1,000",593,622,0.00482315112540193,0.008667574001073618,-0.0020961632871818875,0.019431311289329123,1.7970770095559299,0.11084535117419429,False
conversion,Womens E-Mail,zip_code,Rural,3181,3139,0.00828289264096846,0.003348669760791992,-0.0015437437326925449,0.00824108325427653,0.40428747612023325,0.18029530100656066,False
conversion,Womens E-Mail,zip_code,Surburban,9650,9625,0.004987012987012987,0.0025777538523652516,0.00034861827594335993,0.004806889428787143,0.5168933506044906,0.023476843873356017,False
conversion,Womens E-Mail,zip_code,Urban,8556,8542,0.005619292905642706,0.003613993676872488,0.0010410295611938416,0.006186957792551134,0.6431402914134332,0.005926552614843019,False
spend,Womens E-Mail,mens,Bought mens,11740,11787,0.7837999490964622,0.2564155534589041,-0.11724244724635019,0.6300735541641584,0.3271441312984151,0.17861967281866947,False
spend,Womens E-Mail,mens,No mens purchase,9647,9519,0.4905641348881185,0.6316479517709466,0.2951086910803512,0.9681872124615419,1.287595049962233,0.00023497943310308038,False
spend,Womens E-Mail,womens,Bought womens,11765,11668,0.6175702776825506,0.5442138277148146,0.21635929363272505,0.8720683617969043,0.881217648227813,0.0011413734584142013,False
spend,Womens E-Mail,womens,No womens purchase,9622,9638,0.6954264370201286,0.27835448170778665,-0.12358843645917944,0.6802973998747528,0.40026445198218696,0.17466809037325362,False
spend,Womens E-Mail,recency_bucket,1-3 months,7486,7438,0.9435506856681903,0.3585999956035171,-0.11546850302809425,0.8326684942351283,0.3800537703489334,0.13817564695404247,False
spend,Womens E-Mail,recency_bucket,10-12 months,4521,4403,0.3882398364751306,0.41000612680732895,-0.02185324196983901,0.8418654955844969,1.056064031269477,0.06277165708612871,False
spend,Womens E-Mail,recency_bucket,4-6 months,4753,4766,0.5191879983214435,0.6654827359516472,0.10975562908039194,1.2212098428229026,1.2817760389361479,0.018928980005668734,False
spend,Womens E-Mail,recency_bucket,7-9 months,4627,4699,0.5759374334964886,0.29948940895002096,-0.2485424612677839,0.8475212791678258,0.5200033745537863,0.28409554250932983,False
spend,Womens E-Mail,newbie,Established customer,10624,10611,0.9353501083780982,0.11395712053756446,-0.27549059229949474,0.5034048333746237,0.12183365299990898,0.5662838556814721,False
spend,Womens E-Mail,newbie,New customer,10763,10695,0.37244787283777464,0.7322877956561398,0.40117531349549407,1.0634002778167855,1.9661484171641355,1.4663264622056574e-05,False
spend,Womens E-Mail,channel,Multichannel,2579,2606,0.6157405986185724,1.1575358651270653,0.25858427374935367,2.056487456504777,1.8799083050947467,0.011625472703167508,False
spend,Womens E-Mail,channel,Phone,9454,9327,0.6444526643079231,0.23247350450950877,-0.11922279108584893,0.5841698001048665,0.3607301472780189,0.1951180446987512,False
spend,Womens E-Mail,channel,Web,9354,9373,0.6713858956577403,0.4163166914707608,0.02453436716194657,0.808099015779575,0.620085548658876,0.037279752498983874,False
spend,Womens E-Mail,history_segment,1) $0 - $100,7634,7612,0.516893063583815,0.6258197999215559,0.18810031645638758,1.0635392833867243,1.210733600452114,0.0050785968359421015,False
spend,Womens E-Mail,history_segment,2) $100 - $200,4727,4836,0.42289495450785775,0.4583933890504246,0.04383093829171669,0.8729558398091325,1.0839414946056238,0.03022516374576324,False
spend,Womens E-Mail,history_segment,3) $200 - $350,4155,4044,0.9328808110781406,-0.3231407388759745,-0.8907887075945209,0.2445072298425719,-0.34639016585893456,0.2644927093110117,False
spend,Womens E-Mail,history_segment,4) $350 - $500,2188,2124,1.0102683615819208,-0.10088993379398659,-0.8684219763765312,0.666642108788558,-0.0998644891106051,0.7966475558048794,False
spend,Womens E-Mail,history_segment,5) $500 - $750,1662,1652,0.5388559322033899,1.2856506863284993,0.2857156122775104,2.2855857603794885,2.3858894548519762,0.011759442489819737,False
spend,Womens E-Mail,history_segment,"6) $750 - $1,000",593,622,0.3495337620578778,0.648257131702662,-0.31853146965155965,1.6150457330568835,1.8546338067202786,0.18850270521198711,False
spend,Womens E-Mail,zip_code,Rural,3181,3139,0.7671360305829882,0.5148413350253109,-0.11967811188763311,1.149360781938255,0.6711213063921078,0.11174847457671436,False
spend,Womens E-Mail,zip_code,Surburban,9650,9625,0.669442077922078,0.1771713935805127,-0.19361042142596413,0.5479532085869896,0.2646552994255243,0.3489799425355112,False
spend,Womens E-Mail,zip_code,Urban,8556,8542,0.5920053851557012,0.669135334806898,0.24822960561856472,1.0900410639952314,1.1302858919617955,0.001836044319928863,False
